iter	Passed	Remaining
0	22	432
1	43	389
2	58	332
3	81	325
4	99	297
5	124	290
6	147	274
7	166	249
8	190	232
9	202	202
10	224	183
11	245	163
12	267	143
13	288	123
14	309	103
15	330	82
16	340	60
17	362	40
18	384	20
19	404	0
